Student_ID,Attendance,Study_Hours,Previous_Score,Assignment_Score,Sleep_Hours,Participation,Final_Score
1001,88,5.5,91,74,4.8,7,79.46
1002,78,4.4,73,80,7.2,4,72.04
1003,64,5.1,53,98,8.0,7,62.14
1004,92,6.2,75,53,8.7,7,68.11
1005,57,4.9,72,69,5.7,1,57.39
1006,70,5.1,62,80,7.6,6,63.96
1007,88,5.0,89,43,6.7,9,73.3
1008,68,3.7,84,98,4.3,2,70.27
1009,72,3.4,41,43,7.4,3,55.81
1010,60,7.3,80,67,7.5,10,81.87
1011,60,5.3,60,47,8.7,5,54.51
1012,73,2.7,41,41,6.5,9,50.54
1013,85,4.5,66,80,5.2,4,64.4
1014,89,3.3,48,100,4.2,1,56.3
1015,73,7.5,40,85,6.1,4,61.52
1016,52,1.1,50,61,5.5,6,55.23
1017,71,2.6,42,80,7.8,5,56.59
1018,51,3.6,91,95,5.8,1,64.05
1019,73,4.4,62,94,8.7,4,71.15
1020,93,7.0,65,55,8.8,6,76.91
1021,79,1.6,43,68,7.1,10,63.69
1022,87,6.6,57,88,8.6,10,76.81
1023,51,1.4,94,87,7.8,4,64.95
1024,70,6.9,45,69,6.7,9,64.47
1025,82,1.4,74,51,4.9,5,55.37
1026,61,1.1,61,74,6.3,8,56.78
1027,71,5.9,82,50,6.8,9,73.0
1028,93,8.0,54,85,8.3,10,84.26
1029,74,7.3,61,89,6.4,5,78.66
1030,98,5.0,76,60,8.5,6,70.84
1031,76,7.4,91,60,7.4,1,74.47
1032,91,1.0,81,44,4.7,7,55.57
1033,77,7.8,51,87,9.0,4,88.65
1034,65,4.4,86,59,6.6,2,58.4
1035,64,6.1,88,76,6.0,5,70.08
1036,96,6.7,81,42,7.3,3,76.07
1037,100,6.0,77,83,4.5,6,77.2
1038,93,4.7,57,72,7.2,8,75.42
1039,52,4.3,84,92,6.5,7,71.93
1040,86,6.9,74,100,6.0,3,77.27
1041,100,2.4,69,48,8.8,8,61.98
1042,56,7.8,63,100,6.6,2,68.17
1043,70,6.0,81,48,5.1,10,69.72
1044,58,2.4,69,43,6.3,9,55.08
1045,88,6.2,53,74,8.6,4,65.77
1046,67,4.7,45,56,4.9,1,50.78
1047,53,6.0,42,73,5.1,8,56.06
1048,74,6.4,55,63,4.1,7,70.21
1049,63,1.6,46,71,4.1,5,54.31
1050,99,4.5,91,40,8.1,10,72.78
1051,58,7.5,53,47,7.7,5,58.48
1052,75,3.2,48,84,5.8,7,62.91
1053,51,5.2,54,62,7.5,5,64.59
1054,69,3.6,60,86,6.0,8,73.77
1055,77,4.2,74,79,8.8,6,64.08
1056,96,4.8,41,51,8.8,5,66.57
1057,56,4.8,66,93,6.0,9,70.33
1058,93,2.4,41,51,8.3,2,51.45
1059,57,5.8,74,85,7.9,1,69.31
1060,96,1.6,57,86,5.5,8,63.3
1061,84,2.0,53,54,5.2,3,57.22
1062,63,1.0,59,80,6.3,7,63.47
1063,66,1.8,57,58,7.9,10,65.25
1064,85,4.3,49,65,8.8,8,56.67
1065,99,5.2,64,91,7.8,6,76.19
1066,89,6.6,41,68,8.3,10,63.08
1067,53,1.7,64,61,7.0,9,52.11
1068,51,7.0,93,79,8.2,7,66.32
1069,55,6.2,72,60,7.9,10,73.14
1070,91,3.9,75,90,5.9,5,74.07
1071,53,7.5,70,77,6.8,8,71.86
1072,78,7.9,53,59,8.0,2,62.89
1073,67,2.4,40,96,4.2,7,59.5
1074,75,3.7,85,68,8.0,4,62.49
1075,93,7.5,55,90,4.9,9,75.42
1076,83,6.1,93,43,6.6,1,62.35
1077,59,1.3,85,94,8.0,7,65.53
1078,85,6.5,91,46,5.3,6,71.23
1079,63,6.8,42,67,5.2,8,62.47
1080,80,6.3,74,67,6.0,5,74.59
1081,97,6.6,80,43,8.5,1,75.04
1082,64,6.8,45,61,4.0,1,63.72
1083,57,2.3,64,51,8.5,9,57.37
1084,63,2.6,52,84,4.8,10,63.3
1085,72,5.4,92,42,9.0,6,71.24
1086,89,7.4,73,61,8.8,10,73.27
1087,70,3.2,47,83,6.5,5,57.11
1088,65,5.1,60,41,6.6,1,51.79
1089,94,5.8,73,63,6.4,6,71.15
1090,67,4.2,43,73,7.2,6,59.05
1091,96,6.0,64,66,4.5,3,67.8
1092,73,7.3,54,94,4.2,8,70.55
1093,75,5.4,43,80,4.3,1,57.88
1094,74,4.8,84,40,6.2,1,57.05
1095,94,4.1,51,47,5.4,6,47.1
1096,90,5.0,71,62,7.1,10,67.61
1097,78,3.5,71,77,9.0,1,63.94
1098,64,3.7,67,45,5.9,6,62.54
1099,94,4.7,52,61,6.9,1,48.45
1100,50,1.5,70,64,6.1,6,49.09
1101,74,2.6,53,57,8.2,3,55.66
1102,56,4.8,59,56,8.5,8,66.26
1103,58,4.0,57,100,8.4,6,64.42
1104,73,3.3,68,51,8.9,1,52.58
1105,50,6.1,45,45,4.1,5,58.88
1106,93,5.9,71,65,8.2,8,80.64
1107,57,2.2,68,66,7.8,3,58.73
1108,73,7.2,82,47,5.1,6,68.99
1109,60,4.5,41,58,8.8,5,60.56
1110,100,6.2,62,99,4.7,6,69.69
1111,66,5.0,58,81,7.4,10,76.17
1112,57,8.0,70,40,5.1,1,60.4
1113,84,6.3,90,96,6.2,7,85.34
1114,84,5.9,44,68,7.6,9,64.65
1115,82,6.5,58,84,6.8,2,60.66
1116,54,2.0,73,88,6.1,10,65.58
1117,91,2.4,49,74,5.6,5,62.12
1118,88,6.0,64,79,8.2,10,82.47
1119,90,4.5,41,53,4.7,4,59.69
1120,77,6.3,50,74,6.2,6,69.74
1121,56,1.7,89,87,8.5,6,61.2
1122,58,4.8,70,84,8.2,2,68.29
1123,57,3.7,95,59,6.0,2,56.36
1124,61,4.2,54,95,7.8,4,69.07
1125,83,5.2,48,88,8.1,1,64.28
1126,82,4.5,62,52,8.4,9,66.96
1127,97,4.8,58,100,6.7,7,80.95
1128,72,4.4,48,77,5.0,7,67.59
1129,73,3.9,74,88,5.3,3,70.25
1130,86,6.4,60,85,5.5,3,67.15
1131,84,1.1,48,88,7.0,1,57.85
1132,93,5.2,67,47,4.2,3,59.01
1133,89,5.0,85,82,7.2,3,78.89
1134,71,6.0,90,59,5.8,4,63.6
1135,76,5.2,46,99,5.5,4,66.09
1136,84,6.8,55,72,8.4,3,65.51
